30,4
7,7
16,6
4,4
13,4
35,6
10,6
40,5
20,6
25,5
30,4
7,5
4,4
20,4
13,5
10,6
35,5
40,4
25,4
16,6
4,7
30,3
40,7
16,5
13,7
10,3
7,6
20,7
35,5
25,5
30,4
35,6
4,3
10,6
7,5
40,7
13,4
25,5
20,3
16,4
10,6
16,6
7,6
35,4
25,6
4,3
13,4
20,7
30,3
40,7
20,3
35,3
10,6
4,6
40,3
16,5
7,5
13,4
25,3
30,7
25,5
30,3
40,7
10,4
7,4
13,5
4,3
16,5
35,5
20,7
10,6
20,4
35,7
25,5
4,4
40,3
7,3
30,3
13,7
16,7
40,6
25,5
20,6
30,3
13,6
4,5
10,5
7,3
16,3
35,4
20,5
16,6
13,5
30,7
35,3
40,4
7,5
25,6
10,6
4,4
16,3
40,3
20,6
35,4
13,4
10,5
30,7
7,4
4,3
25,7
40,4
4,4
13,7
20,7
16,6
35,6
7,4
30,6
25,6
10,4
30,7
16,7
40,4
35,6
4,7
13,3
7,5
10,7
25,
20,
16,
40,
35,
4,
13,
7,
20,
10,
30,
25,
7,
25,
10,
20,
4,
13,
40,
35,
16,
30,
